0.00 press up
0.04 steer -2564
0.05 steer 0
0.06 steer 142
0.07 steer 0
0.13 steer 65536
0.14 steer -22576
0.15 steer 0
0.16 steer 65536
0.17 steer -33645
0.18 steer 0
0.23 steer 10437
0.24 steer 0
0.45 steer -2457
0.46 steer 0
0.50 steer 65536
0.51 steer 50022
0.52 steer 65536
0.53 steer 0
0.54 steer 43494
0.55 steer 65536
0.56 steer -38480
0.57 steer 0
0.58 steer -9955
0.59 steer 0
0.64 steer 65536
0.66 steer -65536
0.69 steer 0
0.74 steer -41974
0.75 steer -1388
0.76 steer 0
0.81 steer 65536
0.83 steer 0
0.84 steer -17110
0.85 steer -63
0.86 steer 0
0.95 steer -12685
0.96 steer -459
0.97 steer 0
1.00 steer -316
1.01 steer 0
1.04 steer -65536
1.05 steer 0
1.09 steer 48988
1.10 steer -21940
1.11 steer 0
1.25 steer -3181
1.26 steer 0
1.27 steer 48510
1.28 steer -65536
1.29 steer 0
1.35 steer -28758
1.36 steer -65536
1.37 steer 51067
1.38 steer 59671
1.39 steer 0
1.40 steer -25844
1.41 steer 216
1.42 steer 0
1.43 steer -35633
1.44 steer -4509
1.45 steer -8234
1.46 steer -29920
1.47 steer -10712
1.48 steer 48584
1.49 steer 0
1.50 steer -2077
1.51 steer -58498
1.52 steer -25606
1.53 steer 0
1.54 steer -58398
1.55 steer 62893
1.56 steer -50268
1.57 steer -20570
1.58 steer 38649
1.59 steer -4777
1.60 steer -15290
1.61 steer 46558
1.62 steer 30729
1.63 steer -56028
1.64 steer 1497
1.65 steer -1966
1.66 steer 17678
1.67 steer 4939
1.68 steer -5191
1.69 steer 0
1.70 steer 52980
1.71 steer -61561
1.72 steer 30914
1.73 steer -4762
1.74 steer 26530
1.75 steer -53707
1.76 steer 0
