,,,,,,,,,,,,,,,,,,,,,,,,
,Nadeo Map,,TAS Record,vs. RTA,Author(s),Date,Links,,,,,RTA Record,Player,Date,Links,,,Nadeo Set,Total Time,,Time Saved,,,
,,A-0,4.38,-0.01,Gl1tch3D + Virtuoso + Shweetz + trabadia,22-Dec-21,,,,,,4.39,gommy,26-Jan-07,,,,,TAS,RTA,Diff,,%,
,,A-1,4.62,0.00,Q0uut,7-Sep-23,,,,,,4.62,oli10,2-Nov-24,,,,Beginner,5:29.14,5:37.74,-0:08.60,,2.55,
,,A-2,7.37,-0.02,BdcapTAS,15-Jun-25,,,,,,7.39,plastosex,1-Jun-20,,,,Advanced,11:25.75,13:20.62,-1:54.87,,14.35,
,,A-3,9.34,-0.07,igntuL,19-Jun-25,,,,,,9.41,Fwo.Link,3-Jun-20,,,,Expert,16:00.65,20:19.49,-4:18.84,,21.23,
,,A-4,7.38,-0.01,Thoman,15-Apr-24,,,,,,7.39,Schmaniol,21-May-20,,,,Pro,8:32.70,10:02.60,-1:29.90,,14.92,
,,A-5,6.47,0.00,Kimura,19-Jun-22,,,,,,6.47,Blightster,28-Jan-06,,,,Bonus,8:20.01,8:23.61,-0:03.60,,0.71,
,,A-6,,,,,,,,,,6.43,shambo777,5-Sep-09,,,,Total,49:48.25,57:44.06,-7:55.81,,13.74,
,,A-7,10.09,-0.01,Alex + DELETE_CLUB,22-Mar-24,,,,,,10.10,Teryo,27-May-20,,,,,,,,,,
,,A-8,9.42,-0.29,igntuL + MidnightEuphoria + caleb,26-Apr-26,,,,,,9.71,instable,20-Sep-25,,,,Author,TASes,Contributions,Time Saved,,Driver,RTA WRs
,,A-9,,,,,,,,,,6.55,"|PT|""DIABLO""",24-Sep-10,,,,igntuL,16,14.00,14.82,,crosshairstm,13
,,B-0,8.32,-2.48,igntuL,7-Apr-26,,,,,,10.80,plastosex,29-May-20,,,,angry_birds_45,13,12.00,9.79,,Wave.Ðemon,9
,,B-1,9.22,-0.18,igntuL,7-Apr-26,,,,,,9.40,bicougnon,20-Jul-25,,,,BdcapTAS,8,6.83,1.51,,Hellcat,8
,,B-2,13.67,-0.08,Bice + Gl1tch3D + BdcapTAS,1-May-26,,,,,,13.75,Sativa,30-May-20,,,,Alex,8,6.00,33.99,,plastosex,7
,,B-3,13.10,-0.08,xnferno,27-Apr-26,,,,,,13.18,Teryo,30-Dec-20,,,,MidnightEuphoria,8,5.67,60.22,,x-ROC Marvin,6
