,,,,,,,,,,,,,,,,,,,,,,,,,, ,,
,Nadeo Map,,TAS Record,vs. RTA,Author(s),Date,Links,,,,,RTA Record,Player,Date,Links,,,Nadeo Set,Total Time,,Time Saved,,,,,Top 10 TMNF TAS Savings,,
,,A01,17.61,-6.16,igntuL + Na'Guul + trabadia + Lukalyc,22-Jul-23,,,,,,23.77,Axell,16-Sep-25,,,,,TAS,RTA,Diff,,%,,,Map,% Saved,Authors
,,A02,14.72,-0.54,CrizpyCheese,15-Mar-26,,,,,,15.26,Fwo.Link,27-Apr-24,,,,White,4:15.89,5:22.04,-1:06.15,,20.54,,,E02,78.15,Virtuoso
,,A03,17.43,-0.80,Winterly + trabadia,22-Jan-25,,,,,,18.23,oli10,31-Mar-24,,,,Green,5:20.58,7:44.23,-2:23.65,,30.94,,,D14,72.77,charlie + Miku + Kimura + Bice + TTR_Mc 77 + Thoman + Louis + BdcapTAS
,,A04,5.73,-0.05,Don Johnson,5-Dec-24,,,,,,5.78,Virtuoso,1-Mar-22,,,,Blue,6:01.01,10:36.32,-4:35.31,,43.27,,,E05,65.38,mufattmf + igntuL + Vogtek + charlie + Jsap + Thoman
,,A05,15.63,-0.42,CrizpyCheese,15-Mar-26,,,,,,16.05,Fwo.Link,19-Oct-19,,,,Red,9:32.80,20:13.52,-10:40.72,,52.80,,,C14,62.24,mufattmf + Stuntlover
,,A06,20.86,-6.64,Thoman + mufattmf + igntuL + CrizpyCheese,2-Mar-24,,,,,,27.50,Fwo.Link,28-Nov-22,,,,Black,23:00.25,63:34.73,-40:34.48,,63.82,,,D06,61.78,charlie + goldenowl
,,A07,22.46,-3.72,Bice + Winterly,26-Aug-24,,,,,,26.18,raceta,24-Aug-24,,,,Total,48:10.53,107:30.84,-59:20.31,,55.19,,,D02,59.64,charlie
,,A08,31.32,-24.39,charlie,21-Apr-26,,,,,,55.71,Almighty Hefest,7-May-20,,,,,,,,,,,,E01,58.53,threadd + Virtuoso
